# format:aut|changed|aut_name|org_id|source
237|20120402|MERIT-AS-14|MICH-Z-ARIN|ARIN
238|20120402|MERIT-AS-15|MICH-Z-ARIN|ARIN
239|20090731|UTORONTO-AS|UNIVER-36-ARIN|ARIN
240|20080818|SAALC-HOSTNET-AS|7ESG-ARIN|ARIN
241|20080818|OCALC-HOSTNET-AS|7ESG-ARIN|ARIN
242|19910110|SSSD-AS|SUPSHI-ARIN|ARIN
243|20130718|HARRIS-ATD-AS|HGSS-ARIN|ARIN
244|20090526|DNIC-AS-00244|DNIC-ARIN|ARIN
245|20140427|PRC-AS|PRC-ARIN|ARIN
246|20090205|ASIFICS-GW-AS|7ESG-ARIN|ARIN
247|19910110|ROMENET-AS|RADC-2-ARIN|ARIN
248|20000101|ICEVPN-AS|@aut-248-RIPE|RIPE
249|20000101|PETERCOM-AS|@aut-249-RIPE|RIPE
250|20000101|SACREDCHAO-AS|@aut-250-RIPE|RIPE
251|20000101|KAIAGLOBAL-AS|@aut-251-RIPE|RIPE
252|20110824|DNIC-AS-00252|HEADQU-3-ARIN|ARIN
253|20120302|NTTA-253|NTTAM-1-ARIN|ARIN
254|19951208|TWG-NET-AS|THEWOL-7-ARIN|ARIN
255|20080820|PAFB-GW|7ESG-ARIN|ARIN
256|20110705|DNIC-AS-00256|NNICN-1-ARIN|ARIN
257|20110705|DNIC-AS-00257|NNICN-1-ARIN|ARIN
258|20111101|BRAGGSRI-EGP-AS|HEADQU-3-ARIN|ARIN
259|19970422|SCUBED-AS|SCUBED-4-ARIN|ARIN
260|20130715|XCONNECT24|XCONN-2-ARIN|ARIN
261|20000101|FR-CINES-MONTPELLIER|@aut-261-RIPE|RIPE
262|20121210|VERIO|VERIO-2-ARIN|ARIN
263|20121210|NTTA-263|NTTAM-1-ARIN|ARIN
264|20110413|SRINET-AS|SRIINT-ARIN|ARIN
265|19940603|DSI-WR-16|AITS-2-ARIN|ARIN
266|20120302|DHC-USA-INC|DHCUS-ARIN|ARIN
267|20120302|NETHER-NET|NETHER-2-ARIN|ARIN
268|19910110|USUHSNET-AS|USUHS-ARIN|ARIN
269|19910110|INCSYS-AS|ISC-81-ARIN|ARIN
270|20030115|PSCNI-AS|NASA-ARIN|ARIN
271|20120402|BCNET-AS|BC-Z-ARIN|ARIN
272|20120525|CTNOSC-ASN-272|HEADQU-3-ARIN|ARIN
273|20110705|DNIC-AS-00273|DNIC-ARIN|ARIN
274|20090513|AINET-AS274|AITS-1-ARIN|ARIN
275|20120302|NTTA-275|NTTAM-1-ARIN|ARIN
276|20120302|OTS-AS-276|UTS-2-ARIN|ARIN
277|20120302|CSC-300-AS277|CSC-300-ARIN|ARIN
278|20110503||@aut-278-LACNIC|LACNIC
279|20120224|LVLT-279|LVLT-ARIN|ARIN
280|20120302|NTTA-280|NTTAM-1-ARIN|ARIN
281|20120224|LVLT-281|LVLT-ARIN|ARIN
282|20090426|MERIT-AUX-AS|MERITT-ARIN|ARIN
283|20120302|MPOWERLABS|MPOWE-1-ARIN|ARIN
284|20120320|UUNET-IPV6|MCICS-ARIN|ARIN
285|20110824|DNIC-AS-00285|HEADQU-3-ARIN|ARIN
286|20000101|KPN|@aut-286-RIPE|RIPE
287|20110705|DNIC-AS-00287|NNICN-1-ARIN|ARIN
288|20000101|ESA|@aut-288-RIPE|RIPE
289|20110824|DNIC-AS-00289|HEADQU-3-ARIN|ARIN
290|20030306|SHOWNET-AS|ISN-4-ARIN|ARIN
291|20120402|ESNET-EAST|ENSN-Z-ARIN|ARIN
292|20120402|ESNET-WEST|ENSN-Z-ARIN|ARIN
293|20120402|ESNET|ENSN-Z-ARIN|ARIN
294|20000101|FRANCE-IP-NET-AS|@aut-294-RIPE|RIPE
295|20110705|DNIC-AS-00295|NNICN-1-ARIN|ARIN
296|20090514|ACFP-AS|7ESG-ARIN|ARIN
297|20030226|NISN-SIP-AS|NASA-ARIN|ARIN
298|20090505|RADC-LONEX-AS|7ESG-ARIN|ARIN
299|20120926|UCINET-AS|UCI-1-ARIN|ARIN
300|20110629|DNIC-AS-00300|DNIC-ARIN|ARIN
301|20080815|C3PO-AS|7ESG-ARIN|ARIN
302|20130530|BCM-INFO-NET-AS|BCM-5-ARIN|ARIN
303|20110629|DNIC-AS-00303|DNIC-ARIN|ARIN
304|20110413|SRIEXPRIGNET-AS|SRIINT-ARIN|ARIN
305|20110824|DNIC-AS-00305|HEADQU-3-ARIN|ARIN
306|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
